Month,ng_prod
Jan-98,2103350
Dec-97,2043797
Nov-97,1999185
Oct-97,2056810
Sep-97,1979180
Aug-97,2013271
Jul-97,2011169
Jun-97,1943561
May-97,2032294
Apr-97,1984535
Mar-97,2094342
Feb-97,1897202
Jan-97,2080127
Dec-96,2054700
Nov-96,2008920
Oct-96,2030248
Sep-96,1966704
Aug-96,2025372
Jul-96,2007073
Jun-96,1959001
May-96,2022455
Apr-96,2000697
Mar-96,2051442
Feb-96,1937875
Jan-96,2049073
Dec-95,2127881
Nov-95,2045375
Oct-95,1988496
Sep-95,1914391
Aug-95,1964637
Jul-95,1960252
Jun-95,1910423
May-95,1996735
Apr-95,1944500
Mar-95,2025808
Feb-95,1821998
Jan-95,2043131
Dec-94,2115634
Nov-94,2035684
Oct-94,1981888
Sep-94,1877710
Aug-94,1970795
Jul-94,1942942
Jun-94,1881268
May-94,1983962
Apr-94,1924133
Mar-94,2028595
Feb-94,1815466
Jan-94,2022627
Dec-93,2063028
Nov-93,1965775
Oct-93,1950320
Sep-93,1832337
Aug-93,1871405
Jul-93,1850299
Jun-93,1794868
May-93,1878769
Apr-93,1842904
Mar-93,1943064
Feb-93,1767708
Jan-93,1965166
Dec-92,1955878
Nov-92,1871098
Oct-92,1898912
Sep-92,1786200
Aug-92,1798984
Jul-92,1841528
Jun-92,1799501
May-92,1841543
Apr-92,1801298
Mar-92,1837330
Feb-92,1747923
Jan-92,1952053
Dec-91,1942461
Nov-91,1864008
Oct-91,1863592
Sep-91,1715762
Aug-91,1740663
Jul-91,1740174
Jun-91,1712514
May-91,1786338
Apr-91,1799742
Mar-91,1889228
Feb-91,1737959
Jan-91,1956947
Dec-90,1895421
Nov-90,1825816
Oct-90,1841740
Sep-90,1690802
Aug-90,1764953
Jul-90,1757476
Jun-90,1712084
May-90,1781076
Apr-90,1752771
Mar-90,1841822
Feb-90,1719684
Jan-90,1938977
Dec-89,1855838
Nov-89,1789778
Oct-89,1724142
Sep-89,1649263
Aug-89,1720256
Jul-89,1725453
Jun-89,1688471
May-89,1775667
Apr-89,1742633
Mar-89,1814437
Feb-89,1717410
Jan-89,1871079
Dec-88,1871261
Nov-88,1777887
Oct-88,1753272
Sep-88,1614511
Aug-88,1697417
Jul-88,1680284
Jun-88,1660533
May-88,1730340
Apr-88,1690503
Mar-88,1833049
Feb-88,1758595
Jan-88,1931603
Dec-87,1874822
Nov-87,1730252
Oct-87,1691308
Sep-87,1546332
Aug-87,1617677
Jul-87,1592419
Jun-87,1575395
May-87,1641199
