Liquefied U.S. Natural Gas Exports
https://www.eia.gov/dnav/ng/hist/n9133us2m.htm
07:53:58 GMT+0530 (India Standard Time)
Data source: U.S. Energy Information Administration
Month,Liquefied U.S. Natural Gas Exports  Million Cubic Feet
Oct 1998,5682
Sep 1998,7584
Aug 1998,5677
Jul 1998,5679
Jun 1998,5695
May 1998,1891
Apr 1998,5702
Mar 1998,7435
Feb 1998,3726
Jan 1998,7446
Dec 1997,5631
Nov 1997,5691
Oct 1997,5676
Sep 1997,3767
Aug 1997,7532
Jul 1997,3756
Jun 1997,3786
May 1997,3812
Apr 1997,5660
Mar 1997,5675
Feb 1997,5596
Jan 1997,5604
